품목명,세부종류명,품목코드,품종코드,구분(도소매),세부단위_등급,가격_2022(평균),가격_2023(평균),가격_2024(평균)
레몬,레몬,424,00,중도매인 판매가격,중도매인 판매가격 > 과일류 > 레몬 > 수입 > 상품 > 17kg,"65,227","71,052","75,633"
레몬,레몬,424,00,소매가격,소매가격 > 과일류 > 레몬 > 수입 > 상품 > 10개,"9,854","9,934","10,979"
체리,전체,425,전체,중도매인 판매가격,중도매인 판매가격 > 과일류 > 체리 > 전체 > 상품 > 5kg,"99,696","74,728","83,621"
체리,전체,425,전체,소매가격,소매가격 > 과일류 > 체리 > 전체 > 상품 > 100g,"3,044","2,454","2,665"
체리,체리,425,00,중도매인 판매가격,중도매인 판매가격 > 과일류 > 체리 > 수입 > 상품 > 5kg,"99,696","74,728","83,621"
체리,체리,425,00,소매가격,소매가격 > 과일류 > 체리 > 수입 > 상품 > 100g,"3,044","2,454","2,665"
망고,전체,428,전체,중도매인 판매가격,중도매인 판매가격 > 과일류 > 망고 > 전체 > 상품 > 5kg,"53,188","48,056","48,213"
망고,전체,428,전체,소매가격,소매가격 > 과일류 > 망고 > 전체 > 상품 > 1개,"5,618","5,911","4,992"
망고,망고,428,00,중도매인 판매가격,중도매인 판매가격 > 과일류 > 망고 > 수입 > 상품 > 5kg,"53,188","48,056","48,213"
망고,망고,428,00,소매가격,소매가격 > 과일류 > 망고 > 수입 > 상품 > 1개,"5,618","5,911","4,992"
